Security Name,Identifier,Classification,Weighting
TOTVS S.A.,TOTS3.BZ,Information Technology,2.86%
"Xilinx, Inc.",XLNX,Information Technology,2.72%
QinetiQ Group Plc,QQ/.LN,Industrials,2.65%
Ciena Corporation,CIEN,Information Technology,2.64%
Elbit Systems Ltd.,ESLT.IT,Industrials,2.36%
"Ambarella, Inc.",AMBA,Information Technology,2.35%
Garmin Ltd.,GRMN,Consumer Discretionary,2.31%
Halma Plc,HLMA.LN,Information Technology,2.25%
"Cadence Design Systems, Inc.",CDNS,Information Technology,2.24%
"ServiceNow, Inc.",NOW,Information Technology,2.19%
Gentex Corporation,GNTX,Consumer Discretionary,2.17%
"Nuance Communications, Inc.",NUAN,Information Technology,2.15%
"Illumina, Inc.",ILMN,Health Care,2.09%
"Synopsys, Inc.",SNPS,Information Technology,2.08%
AVEVA Group Plc,AVV.LN,Information Technology,2.03%
"OBIC Co., Ltd.",4684.JP,Information Technology,2.02%
"Medidata Solutions, Inc.",MDSO,Health Care,1.97%
"ANSYS, Inc.",ANSS,Information Technology,1.96%
"AeroVironment, Inc.",AVAV,Industrials,1.94%
Hexagon AB (Class B),HEXAB.SS,Information Technology,1.92%
Topcon Corporation,7732.JP,Information Technology,1.92%
Trimble Inc.,TRMB,Information Technology,1.90%
Appian Corporation,APPN,Information Technology,1.85%
Dassault Systemes S.A.,DSY.FP,Information Technology,1.80%
BlackBerry Ltd.,BB,Information Technology,1.79%
iRobot Corporation,IRBT,Consumer Discretionary,1.78%
"FLIR Systems, Inc.",FLIR,Information Technology,1.70%
PKSHA Technology Inc.,3993.JP,Information Technology,1.46%
Blue Prism Group Plc,PRSM.LN,Information Technology,1.17%
"TransEnterix, Inc.",TRXC,Health Care,1.06%
National Instruments Corporation,NATI,Information Technology,0.98%
Valmet Oyj,VALMT.FH,Industrials,0.98%
"Daifuku Co., Ltd.",6383.JP,Industrials,0.97%
Zebra Technologies Corporation,ZBRA,Information Technology,0.93%
SFA Engineering Corp.,056190.KS,Information Technology,0.91%
Yokogawa Electric Corporation,6841.JP,Information Technology,0.89%
"Intuitive Surgical, Inc.",ISRG,Health Care,0.87%
OMRON Corporation,6645.JP,Information Technology,0.87%
Fanuc Corporation,6954.JP,Industrials,0.86%
"Rockwell Automation, Inc.",ROK,Industrials,0.86%
Hollysys Automation Technologies Ltd.,HOLI,Information Technology,0.84%
NXP Semiconductors N.V.,NXPI,Information Technology,0.82%
Tecan Group AG (Registered),TECN.SW,Health Care,0.82%
Duerr AG,DUE.GY,Industrials,0.81%
Keyence Corporation,6861.JP,Information Technology,0.81%
Yaskawa Electric Corporation,6506.JP,Information Technology,0.80%
"Teradyne, Inc.",TER,Information Technology,0.79%
KLA-Tencor Corporation,KLAC,Information Technology,0.78%
"Toshiba Machine Co., Ltd.",6104.JP,Industrials,0.75%
Cognex Corporation,CGNX,Information Technology,0.72%
"Brooks Automation, Inc.",BRKS,Information Technology,0.65%
"FARO Technologies, Inc.",FARO,Information Technology,0.65%
"ATS Automation Tooling Systems, Inc.",ATA.CN,Industrials,0.63%
"Cyberdyne, Inc.",7779.JP,Health Care,0.62%
"Tesla, Inc.",TSLA,Consumer Discretionary,0.62%
John Bean Technologies Corporation,JBT,Industrials,0.61%
Hirata Corporation,6258.JP,Industrials,0.60%
"DeNA Co., Ltd.",2432.JP,Communication Services,0.57%
"Coherent, Inc.",COHR,Information Technology,0.56%
DENSO Corporation,6902.JP,Consumer Discretionary,0.56%
Intel Corporation,INTC,Information Technology,0.56%
Elekta AB (Class B),EKTAB.SS,Health Care,0.55%
Microsoft Corporation,MSFT,Information Technology,0.54%
Tencent Holdings Limited,700.HK,Communication Services,0.53%
Veoneer Inc,VNE,Consumer Discretionary,0.53%
"Omnicell, Inc.",OMCL,Health Care,0.52%
NVIDIA Corporation,NVDA,Information Technology,0.51%
Siemens AG,SIE.GY,Industrials,0.51%
"Avalara, Inc.",AVLR,Information Technology,0.50%
"Black Knight, Inc.",BKI,Information Technology,0.50%
Magna International Inc. (Class A),MGA,Consumer Discretionary,0.50%
"Akamai Technologies, Inc.",AKAM,Information Technology,0.49%
Alphabet Inc. (Class A),GOOGL,Communication Services,0.49%
"Equinix, Inc.",EQIX,Real Estate,0.49%
Mitsubishi Electric Corporation,6503.JP,Industrials,0.49%
NAVER Corporation,035420.KS,Communication Services,0.49%
PTC Inc.,PTC,Information Technology,0.49%
"Autodesk, Inc.",ADSK,Information Technology,0.48%
"Kawasaki Heavy Industries, Ltd.",7012.JP,Industrials,0.48%
Northrop Grumman Corporation,NOC,Industrials,0.48%
"Samsung Electronics Co., Ltd.",005930.KS,Information Technology,0.47%
Sony Corporation,6758.JP,Consumer Discretionary,0.47%
International Business Machines Corporation,IBM,Information Technology,0.46%
Continental AG,CON.GY,Consumer Discretionary,0.45%
SoftBank Group Corp.,9984.JP,Communication Services,0.45%
"Veritone, Inc.",VERI,Information Technology,0.45%
"Amazon.com, Inc.",AMZN,Consumer Discretionary,0.44%
"BlackLine, Inc.",BL,Information Technology,0.44%
Emerson Electric Co.,EMR,Industrials,0.44%
Aptiv Plc,APTV,Consumer Discretionary,0.42%
"Baidu, Inc. (ADR)",BIDU,Communication Services,0.42%
Valeo S.A.,FR.FP,Consumer Discretionary,0.35%
